指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
C053,铁路营业里程,交通基础设施,公开发布,年末正式营业铁路线路长度。,万公里,全国（具体统计边界见定义）,年,时点,存量,不适用,年末,C_S08,第一部分：2025年16.5万公里，其中高铁5.0万公里。,本文图题明确2021—2025铁路/公路等序列；年度行业公报。,年,里程是物理供给量，不能证明可达性、利用率或投资收益；路网统计口径可能调整，公路客运增速按可比口径。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,S,S2,观察运输基础设施存量及技术等级。,运输周转量；通达时间；设施利用；维护质量,里程不是可达性、运输能力或财政回报；包含关系及不同分类不能重复求和。,EG-C_S08,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（铁路；高速铁路（包含于铁路））；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://xxgk.mot.gov.cn/jigou/zhghs/202606/t20260618_4207752.html
C054,公路里程,交通基础设施,公开发布,年末全国公路线路长度。,万公里,全国（具体统计边界见定义）,年,时点,存量,不适用,年末,C_S08,第一部分：2025年557.89万公里，高速公路19.94万公里。,本文图题明确2021—2025铁路/公路等序列；年度行业公报。,年,里程是物理供给量，不能证明可达性、利用率或投资收益；路网统计口径可能调整，公路客运增速按可比口径。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,S,S2,观察运输基础设施存量及技术等级。,运输周转量；通达时间；设施利用；维护质量,里程不是可达性、运输能力或财政回报；包含关系及不同分类不能重复求和。,EG-C_S08,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（高速；一级；二级；三级；四级；等外公路；国省县乡村道另为行政分类）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://xxgk.mot.gov.cn/jigou/zhghs/202606/t20260618_4207752.html
C055,内河航道通航里程,交通基础设施,公开发布,年末内河可通航航道长度。,万公里,全国（具体统计边界见定义）,年,时点,存量,不适用,年末,C_S08,第一部分：2025年12.87万公里；七级及以上6.86万公里。,本文图题明确2021—2025铁路/公路等序列；年度行业公报。,年,里程是物理供给量，不能证明可达性、利用率或投资收益；路网统计口径可能调整，公路客运增速按可比口径。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,S,S2,观察运输基础设施存量及技术等级。,运输周转量；通达时间；设施利用；维护质量,里程不是可达性、运输能力或财政回报；包含关系及不同分类不能重复求和。,EG-C_S08,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（一级至七级；等外航道）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://xxgk.mot.gov.cn/jigou/zhghs/202606/t20260618_4207752.html
C056,城镇非私营单位就业人员年平均工资,单位劳动收入,公开发布,报告年度单位就业人员工资总额除以就业人员平均人数。为税前工资，含现金、实物及个人税费、社保和公积金代扣；不含工会经费支付、入股分红、股权激励兑现及资本性收益。,元/人·年,城镇地域内就业人数5人及以上法人单位（含统计认定视同法人产业活动单位）的就业人员；不含个体工商户和自由职业者。其中非私营为除私营以外的内资（含机关事业）、港澳台及外商投资单位。,年,期间,流量,名义,全年,C_S15,第一部分；表1—3。2025年129441元，2024年124110元；2025名义4.3%、实际4.2%。,2025工资年度发布；2024—2025总量及非私营/私营分组对照已读，岗位矩阵本次仅核验2025。,年,2023起采用新登记注册统计类别；行业按GB/T4754-2017。调查单位及行业人员构成变化会影响平均数，不能把均值增速当作每名在职者加薪幅度。,原文发布,,使用同一统计范围和报告期的单位工资总额/平均人数口径。原值为名义工资，若使用实际增速须引用原文价格调整，不自行混用住户可支配收入。,D；G；I,G1；G3；G4；I4；D2；D3,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,就业人数与构成；居民工资性收入；居民消费价格；工作时长；劳动生产率,不是居民人均工资性收入、税后到手工资、中位数或全体劳动者平均收入；非私营不等于国有。规上范围按各行业门槛，不能视作全部企业。,EG-城镇单位工资,全国：已覆盖（全国；东部地区；中部地区；西部地区；东北地区）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（农、林、牧、渔业；采矿业；制造业；电力、热力、燃气及水生产和供应业；建筑业；批发和零售业；交通运输、仓储和邮政业；住宿和餐饮业；信息传输、软件和信息技术服务业；金融业；房地产业；租赁和商务服务业；科学研究和技术服务业；水利、环境和公共设施管理业；居民服务、修理和其他服务业；教育；卫生和社会工作；文化、体育和娱乐业；公共管理、社会保障和社会组织）；企业类型：已覆盖（非私营内资单位；港澳台投资单位；外商投资单位）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html
C057,城镇私营单位就业人员年平均工资,单位劳动收入,公开发布,报告年度单位就业人员工资总额除以就业人员平均人数。为税前工资，含现金、实物及个人税费、社保和公积金代扣；不含工会经费支付、入股分红、股权激励兑现及资本性收益。,元/人·年,城镇地域内就业人数5人及以上法人单位（含统计认定视同法人产业活动单位）的就业人员；不含个体工商户和自由职业者。其中私营为私营有限责任公司、私营股份有限公司、个人独资及合伙企业。,年,期间,流量,名义,全年,C_S15,第二部分；表4—5。2025年71590元，2024年69476元；2025名义3.0%、实际2.9%。,2025工资年度发布；2024—2025总量及非私营/私营分组对照已读，岗位矩阵本次仅核验2025。,年,2023起采用新登记注册统计类别；行业按GB/T4754-2017。调查单位及行业人员构成变化会影响平均数，不能把均值增速当作每名在职者加薪幅度。,原文发布,,使用同一统计范围和报告期的单位工资总额/平均人数口径。原值为名义工资，若使用实际增速须引用原文价格调整，不自行混用住户可支配收入。,D；G；I,G1；G3；G4；I4；D2；D3,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,就业人数与构成；居民工资性收入；居民消费价格；工作时长；劳动生产率,不是居民人均工资性收入、税后到手工资、中位数或全体劳动者平均收入；非私营不等于国有。规上范围按各行业门槛，不能视作全部企业。,EG-城镇单位工资,全国：已覆盖（全国；东部地区；中部地区；西部地区；东北地区）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（农、林、牧、渔业；采矿业；制造业；电力、热力、燃气及水生产和供应业；建筑业；批发和零售业；交通运输、仓储和邮政业；住宿和餐饮业；信息传输、软件和信息技术服务业；金融业；房地产业；租赁和商务服务业；科学研究和技术服务业；水利、环境和公共设施管理业；居民服务、修理和其他服务业；教育；卫生和社会工作；文化、体育和娱乐业）；企业类型：已覆盖（城镇私营法人单位）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html
C058,规模以上企业就业人员分岗位年平均工资,单位劳动收入,公开发布,报告年度单位就业人员工资总额除以就业人员平均人数。为税前工资，含现金、实物及个人税费、社保和公积金代扣；不含工会经费支付、入股分红、股权激励兑现及资本性收益。 各岗位用其工资总额/平均就业人数计算；不是固定相同劳动者的追踪工资。,元/人·年,城镇地域内就业人数5人及以上法人单位（含统计认定视同法人产业活动单位）的就业人员；不含个体工商户和自由职业者。规上含工业、有资质建筑、限额以上批零住餐、全部活动房地产开发及规模以上服务业共16行业。,年,期间,流量,名义,全年,C_S15,第三部分；表6—8。2025合计106080元；管理210016、专业技术155491、办事94936、社会生产生活服务79857、生产制造80739元。,2025工资年度发布；2024—2025总量及非私营/私营分组对照已读，岗位矩阵本次仅核验2025。,年,2023起采用新登记注册统计类别；行业按GB/T4754-2017。调查单位及行业人员构成变化会影响平均数，不能把均值增速当作每名在职者加薪幅度。 五类岗位按职业分类大典2022年版。,原文发布,,使用同一统计范围和报告期的单位工资总额/平均人数口径。原值为名义工资，若使用实际增速须引用原文价格调整，不自行混用住户可支配收入。,D；G；I,G1；G3；G4；I4；D2；D3,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,就业人数与构成；居民工资性收入；居民消费价格；工作时长；劳动生产率,不是居民人均工资性收入、税后到手工资、中位数或全体劳动者平均收入；非私营不等于国有。规上范围按各行业门槛，不能视作全部企业。,EG-城镇单位工资,全国：已覆盖（全国；东部地区；中部地区；西部地区；东北地区；中层及以上管理人员；专业技术人员；办事人员和有关人员；社会生产服务和生活服务人员；生产制造及有关人员）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（采矿业；制造业；电力、热力、燃气及水生产和供应业；建筑业；批发和零售业；交通运输、仓储和邮政业；住宿和餐饮业；信息传输、软件和信息技术服务业；房地产业；租赁和商务服务业；科学研究和技术服务业；水利、环境和公共设施管理业；居民服务、修理和其他服务业；教育；卫生和社会工作；文化、体育和娱乐业）；企业类型：已覆盖（内资企业；港澳台投资企业；外商投资企业）；居民群体：部分覆盖（中层及以上管理人员；专业技术人员；办事人员和有关人员；社会生产服务和生活服务人员；生产制造及有关人员）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html
C059,技术合同成交额,技术市场交易,公开发布,年度登记技术合同的成交项目总金额。与扣除非技术性费用的技术交易额、合同履约后实际技术性收入分别统计；成交额可含非技术性合同部分，不能全部视作技术知识增加值。,亿元,全国登记的技术合同成交项目,年,期间,流量,名义,全年,C_S02,2025国民经济和社会发展统计公报第十部分：全年签订技术合同104万项，成交金额75734亿元，同比增长10.8%；附注数据来源为工业和信息化部。定义C_S16第51—52条；2026制度C_S17。,国家统计局年度综合公报固定科技章节发布；本轮核验2025总額与同比及历史认定规则，不声称已核转全部年度或省际矩阵。,年,C_S17管理办法2026-03-01起实施：技术许可单列，里程碑/提成支付按实现金额登记，政府项目不含主体自筹资金；须向后续年度核查可比范围，不把2026条款反推2025。合同变更、登记动机与大额合同会影响序列。,原文发布,,采用已登记、按年度发布的原始金额；核对成交额而非技术交易额或实际收入。技术合同可能跨年履行，不将登记额直接当本年现金流。,I；S,I2；I3；S3,观察登记技术市场活动的规模，为成果转化提供交易环节证据。,技术合同项数；合同类型；实际技术性收入；专利产业化率；新产品销售收入；研发投入,不是企业创新净利润、创新ROI、技术增加值或全市场全部交易；与研发经费不可相加，不据增长直接认定技术自主替代。,EG-C_S02,全国：已覆盖（全国登记技术合同）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
R001,机构部门增加值,国民核算与部门分配,公开发布,部门生产活动创造的增加值；使用国内合计作全国生产口径分母。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；二、增加值,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D；G,G3；G4；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R002,机构部门劳动者报酬,国民核算与部门分配,公开发布,从事生产活动取得的货币及实物劳动报酬，含按官方定义计入的社保等项目；运用与来源不同。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；三、劳动者报酬,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D2；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户；国外）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R003,机构部门初次分配总收入,国民核算与部门分配,公开发布,生产形成的收入经劳动报酬、生产税净额和财产收入分配后的部门总收入。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；六、初次分配总收入,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R004,机构部门可支配总收入,国民核算与部门分配,公开发布,初次分配总收入经经常转移收支调整后的部门可支配总收入。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；八、可支配总收入,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D3；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R005,机构部门实物社会转移,国民核算与部门分配,公开发布,政府免费或以非显著经济价格向住户提供消费性货物服务的价值。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；九、实物社会转移,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D3；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R006,机构部门调整后可支配总收入,国民核算与部门分配,公开发布,部门可支配总收入再按实物社会转移调整，匹配实际最终消费归属。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；十、调整后可支配总收入,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D3；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R007,机构部门实际最终消费,国民核算与部门分配,公开发布,按实际享有货物服务的部门归属计量的最终消费，包括住户接受的实物社会转移；不是不变价消费。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；十一、实际最终消费,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D3；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R008,机构部门总储蓄,国民核算与部门分配,公开发布,可支配总收入减最终消费支出的余额；与银行存款增加不同。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；十二、总储蓄,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D；M,M2；D1；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户；国外）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R009,机构部门资本形成总额,国民核算与部门分配,公开发布,获得减处置的生产性固定资产和存货形成；不是固定资产投资统计额。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；十四、资本形成总额,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D；G,G2；D1；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R010,机构部门净金融投资,国民核算与部门分配,公开发布,部门非金融投资后的资金余缺；来源与运用、统计差额均依原表保留。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；十六、净金融投资,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D；F,F1；D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户；国外）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R011,机构部门财产收入,国民核算与部门分配,公开发布,利息、红利、地租及其他财产收入和支出；分别读取来源和运用。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；五、财产收入,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户；国外）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R012,机构部门经常转移,国民核算与部门分配,公开发布,经常税、社会保险缴款、福利、补助等转移收支，按来源和运用记录。,亿元,国民经济核算常住机构单位；国外按非常住单位交易记录,年度,期间,流量,名义,全年,R_FOF,表3-15；七、经常转移,已核验2023表；简要说明确认1992年以来历史修订，完整逐年覆盖未展开采集,年度；分类标准随版本修订,第五次经济普查后历史修订；沿用同一版本，不拼接旧表,原文发布,,同年份同版本；来源和运用分别选取；空白不按零值推断,D,D4,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,部门可支配收入、消费、储蓄、资本形成及净金融投资,统计部门不是所有制分类；实际最终消费中的实际不表示不变价。,EG-资金流量,全国：已覆盖（中国内地国民核算口径）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（非金融企业；金融机构；广义政府；住户；国外）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R013,住户部门可支配总收入占比,国民核算与部门分配,透明派生,住户部门在国内可支配总收入中的份额。,%,资金流量表同版机构部门,年度,比率,比率,名义,全年,R_FOF,表3-15，按公式括号定位,由可比原值决定；当前已核验2023样本,年度；分类标准随版本修订,与输入序列同版修订,"R004[住户,来源] / R004[国内合计,来源] × 100",R004,同年份同版本；分母>0；缺输入不计算。分母为同表国内合计，不用住户调查人均收入乘人口替代。,D,D3；D4,住户部门在国内可支配总收入中的份额。比较变化需同时看分子与分母。,居民分组收入、消费和部门核算,分母为同表国内合计，不用住户调查人均收入乘人口替代。,EG-资金流量,全国：已覆盖（全国住户部门）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R014,住户部门总储蓄率,国民核算与部门分配,透明派生,住户部门总储蓄占可支配总收入的比例。,%,资金流量表同版机构部门,年度,比率,比率,名义,全年,R_FOF,表3-15，按公式括号定位,由可比原值决定；当前已核验2023样本,年度；分类标准随版本修订,与输入序列同版修订,"R008[住户] / R004[住户,来源] × 100",R008；R004,同年份同版本；分母>0；缺输入不计算。国民核算部门储蓄率；不是存款增量/收入，也不同于住户调查消费收入比。,D；M,M2；D4,住户部门总储蓄占可支配总收入的比例。比较变化需同时看分子与分母。,居民分组收入、消费和部门核算,国民核算部门储蓄率；不是存款增量/收入，也不同于住户调查消费收入比。,EG-资金流量,全国：已覆盖（全国住户部门）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R015,国内劳动者报酬占增加值比重,国民核算与部门分配,透明派生,国内生产过程中支付的劳动者报酬占增加值比例，保留统计劳动报酬定义。,%,资金流量表同版机构部门,年度,比率,比率,名义,全年,R_FOF,表3-15，按公式括号定位,由可比原值决定；当前已核验2023样本,年度；分类标准随版本修订,与输入序列同版修订,"R002[国内合计,运用] / R001[国内合计,来源] × 100",R002；R001,同年份同版本；分母>0；缺输入不计算。不用住户来源列取代国内运用列；混合收入等按官方分类，不自定分拆。,D,D2；D4,国内生产过程中支付的劳动者报酬占增加值比例，保留统计劳动报酬定义。比较变化需同时看分子与分母。,居民分组收入、消费和部门核算,不用住户来源列取代国内运用列；混合收入等按官方分类，不自定分拆。,EG-资金流量,全国：已覆盖（国内合计）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
R016,住户实物社会转移增益比,国民核算与部门分配,透明派生,住户获得的实物社会转移相对其可支配总收入的比例。,%,资金流量表同版机构部门,年度,比率,比率,名义,全年,R_FOF,表3-15，按公式括号定位,由可比原值决定；当前已核验2023样本,年度；分类标准随版本修订,与输入序列同版修订,"R005[住户,来源] / R004[住户,来源] × 100",R005；R004,同年份同版本；分母>0；缺输入不计算。反映非现金公共服务的归属，不等于现金补贴或居民可自由支配现金。,D,D3；D4,住户获得的实物社会转移相对其可支配总收入的比例。比较变化需同时看分子与分母。,居民分组收入、消费和部门核算,反映非现金公共服务的归属，不等于现金补贴或居民可自由支配现金。,EG-资金流量,全国：已覆盖（全国住户部门）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（住户）,https://www.stats.gov.cn/sj/ndsj/2025/html/C03-15.jpg
